Word	Occurrences
que	11134
de	9164
y	8690
a	7968
la	5104
en	4053
el	3858
no	3159
se	2655
los	2154
con	2089
n	1985
por	1947
lo	1945
le	1894
su	1863
s	1571
las	1494
mi	1261
me	1184
como	1152
del	1128
si	1113
don	1088
es	1045
ma	996
yo	962
e	945
o	914
un	902
dijo	879
quijote	848
l	843
al	834
sen	831
habi	826
porque	772
tan	763
para	720
sancho	691
an	629
ni	627
sin	626
todo	623
esta	623
una	601
asi	576
bien	551
ser	506
esto	497
ha	492
sus	488
era	486
pues	465
vuestra	459
respondio	455
pero	435
todos	433
ya	422
or	419
cual	401
merced	400
este	394
cuando	387
te	386
ella	385
fue	382
donde	371
as	364
caballero	352
os	343
dos	338
di	329
sino	319
hacer	318
quien	308
muy	300
aquel	297
tu	297
is	287
otra	284
cosa	281
estaba	276
aunque	270
alli	266
decir	266
teni	265
he	258
mal	253
ora	252
otro	250
tanto	248
cura	247
nos	245
luego	232
poco	229
aqui	225
aquella	219
ver	217
mas	213
hasta	212
alguna	210
manera	208
verdad	205
ahora	204
dios	201
les	201
vida	200
buen	199
padre	196
ellos	192
son	191
buena	191
sobre	189
co	187
tengo	185
hay	184
do	183
deci	182
parte	181
cosas	180
ndole	180
dicho	180
lugar	176
uno	176
oi	175
tiempo	171
mis	171
tal	171
dar	170
mundo	170
entre	169
puesto	168
toda	167
todas	166
tiene	166
amo	162
digo	161
menos	161
dio	159
mucho	157
ndose	157
eso	156
fuera	156
han	155
caballeros	155
hecho	154
mo	153
mejor	153
gran	152
camila	150
tierra	150
mano	148
casa	148
aun	147
podi	146
hizo	145
vio	143
lotario	142
sea	141
cuanto	140
caballeri	140
algu	140
puede	139
barbero	138
otras	137
cielo	137
anselmo	137
quie	135
visto	135
antes	134
amigo	133
so	133
dorotea	131
tener	128
ojos	128
estas	127
saber	127
punto	127
tambie	126
haber	124
sera	122
panza	122
estos	122
mismo	121
cua	121
camino	121
otros	120
rocinante	120
despue	120
hombre	119
fernando	118
fin	117
razones	117
parece	117
gusto	116
mucha	116
soy	114
da	113
fuese	112
voluntad	112
quiero	111
venta	111
libros	110
manos	110
nuestro	109
muchas	107
tres	107
noche	107
escudero	106
tanta	106
eran	106
cardenio	104
cuenta	103
diciendo	103
duda	102
quiso	102
grande	102
veces	101
deseo	100
luscinda	99
llego	99
ventero	98
primero	97
veni	97
historia	97
desde	97
vez	96
viendo	96
cabeza	95
palabra	93
andante	92
caballo	92
cada	92
vos	91
dulcinea	90
va	90
sido	89
mujer	89
suerte	89
desta	89
menester	89
aquellos	89
quedo	88
nombre	88
muchos	88
jama	87
adelante	87
debe	86
iba	86
vino	86
modo	85
entonces	85
andantes	85
tales	85
ti	84
gente	84
dice	84
replico	83
entender	83
estaban	82
haci	82
pie	81
voz	81
parecer	81
hermosa	81
fuerza	81
memoria	81
cuales	80
vuestro	80
amor	80
poner	80
i	79
mesmo	78
zoraida	78
tulo	78
tantas	78
segu	77
causa	77
doncella	77
alguno	77
ir	77
trai	77
hija	76
dado	76
nada	76
armas	76
rey	76
ocasio	76
palabras	75
fueron	75
nunca	75
debi	75
triste	74
oh	74
contra	73
voces	73
dema	73
aquello	73
pareci	73
comenzo	73
hace	72
puso	72
caso	71
razo	71
daba	71
delante	70
posible	70
mala	70
hubo	70
salir	70
muerte	69
rostro	69
siempre	69
persona	69
ninguna	69
castillo	68
au	68
estar	68
hermosura	68
cuatro	68
hallo	68
deste	67
has	67
ellas	67
alma	67
suelo	67
nadie	67
fe	67
mayor	67
mil	67
ventura	67
compan	67
parecio	66
tantos	66
ese	66
nuevo	66
algunos	65
nosotros	65
dejo	65
podri	65
reino	65
pena	64
poder	64
tienen	64
casi	64
pies	63
cabo	63
contento	63
pudo	63
pregunto	62
junto	62
tuvo	62
aquellas	62
estado	62
quiere	61
cierto	61
espada	61
ello	61
valor	61
pasar	61
dan	61
dejar	61
haya	60
unos	60
capi	60
hacia	60
partes	60
algo	60
fama	60
toboso	60
brazo	60
tomo	59
simo	59
muerto	59
habe	59
tus	59
mitad	59
engan	59
cuerpo	58
venir	58
suyo	58
juicio	57
intencio	57
queri	57
ninguno	57
hermano	57
ores	56
cuento	56
aventuras	56
entendimiento	56
aventura	56
libertad	56
tomar	56
siendo	56
dicen	56
paso	56
volvio	56
sabi	55
boca	54
pecho	54
aposento	54
volver	54
esa	54
carta	53
orden	53
nuestra	53
extran	53
mira	52
espan	52
figura	52
famoso	52
mesma	52
asno	52
mozo	52
cristianos	52
grimas	52
lengua	52
llevar	51
bueno	51
apenas	51
sabe	51
viene	51
vi	51
presto	50
ciudad	50
honra	50
algunas	50
r	50
quiza	50
mancha	50
vista	50
buscar	50
hablar	49
leer	49
encantado	49
corazo	49
querer	49
podra	49
lei	48
cano	48
misma	48
solo	48
falta	48
ndola	47
gigante	47
estando	47
nigo	47
libro	47
gana	47
pueda	46
amos	46
hora	46
dije	46
adonde	46
reina	46
pienso	46
ste	46
brazos	46
nde	45
pudiera	45
seri	45
ado	45
dieron	45
llamaba	45
sangre	45
cabrero	45
creo	45
pensaba	45
vie	45
della	45
ndome	45
pensar	44
pensamiento	44
pensamientos	44
leonela	44
princesa	44
tras	44
cristiano	44
renegado	44
finalmente	44
culpa	44
medio	44
hombres	44
cerca	44
agua	44
hicieron	44
batalla	43
fortuna	43
sima	43
buenos	43
acompan	43
comer	43
nuevas	43
estoy	43
locura	43
desgracia	43
natural	43
cautivo	42
semejantes	42
deseos	42
madre	42
loco	42
padres	42
hubiera	42
grandes	42
vuestras	42
man	42
muestras	42
hijo	41
peligro	41
remedio	41
silencio	41
habiendo	41
hue	41
ahi	41
deja	41
criado	41
queda	40
entrar	40
debajo	40
discurso	40
obra	40
quisiera	40
llegar	40
salio	40
puerta	40
oidor	40
pobre	40
primera	39
enamorado	39
pla	39
suele	39
trabajo	39
mercedes	39
tuviese	39
ana	39
dellos	39
luis	39
conmigo	39
dando	38
tenga	38
ansi	38
hare	38
rico	38
cuya	38
duen	38
moros	38
agora	37
hari	37
campo	37
suceso	37
esperar	37
espacio	37
vera	37
llama	37
cuidado	37
nuestros	36
provecho	36
yelmo	36
sola	36
ge	36
buenas	36
vieron	36
cai	36
creer	36
semos	36
mirar	36
acabo	36
tenido	36
enemigo	36
entro	36
unas	36
capita	36
mar	36
sepa	36
principio	36
temor	36
hago	36
hallado	35
diablo	35
marido	35
andaba	35
edad	35
ningu	35
cuantos	35
sazo	35
hubiese	35
dijese	35
dolor	35
esposa	35
hazan	35
haga	35
habra	35
papel	34
criados	34
hacen	34
valeroso	34
oro	34
hallar	34
alta	34
puedo	34
jumento	34
lanza	34
baci	34
dices	34
lleva	34
pastor	34
paz	34
sta	34
estuvo	34
acabar	34
pasado	34
esposo	34
juro	33
lejos	33
amadi	33
pudiese	33
sol	33
condicio	33
fuesen	33
aque	33
nimo	33
montan	33
pan	33
supo	33
guerra	33
conto	33
dicie	33
pesadumbre	32
llaman	32
suya	32
iban	32
diese	32
verdadera	32
sean	32
pasaba	32
fuerte	32
perder	32
darle	32
caer	32
u	32
sucedio	32
virtud	32
acaso	32
amistad	31
santa	31
clara	31
silla	31
necesidad	31
imaginacio	31
maritornes	31
barca	31
fuego	31
bondad	31
quedaron	31
licenciado	31
mirando	30
escrito	30
esperanza	30
nero	30
alla	30
mujeres	30
llevo	30
principal	30
lado	30
fuere	30
ronse	30
ventera	30
dineros	30
seis	30
pen	30
oyo	30
pedi	30
miedo	30
mando	29
llevaba	29
destas	29
suelen	29
toca	29
dormir	29
bamos	29
amores	29
ama	29
quieres	29
poca	29
priesa	29
traje	29
mayores	29
lleno	29
respondi	29
veo	29
torno	29
desdichado	29
deseaba	29
prosiguio	28
pequen	28
haciendo	28
tienes	28
alcanzar	28
prometido	28
grandi	28
resolucio	28
llegaron	28
valiente	28
favor	28
destos	28
hoy	28
efeto	28
stomo	28
fa	28
rogo	28
albarda	28
quito	28
vei	28
griso	28
venga	28
hacienda	28
moro	28
sucesos	28
aldea	28
vosotros	28
disparates	28
versos	28
pun	27
agravio	27
ramos	27
rmino	27
vestido	27
honestidad	27
pueden	27
amigos	27
vuelto	27
especialmente	27
pedro	27
halle	27
labrador	27
viento	27
andar	27
querri	27
ausencia	26
nueva	26
diga	26
personas	26
experiencia	26
risa	26
sito	26
sois	26
quedar	26
dama	26
libre	26
claro	26
deje	26
cuyo	26
cargo	26
hara	26
fueran	26
vea	26
dentro	26
pastores	26
dire	26
hijos	26
venganza	26
sabio	26
discrecio	26
diligencia	26
vizcai	26
viese	26
marcela	26
muestra	25
trata	25
buscando	25
aca	25
venia	25
barbas	25
cabellos	25
conocido	25
gloria	25
peor	25
consigo	25
trae	25
conoci	25
todavi	25
servido	25
veras	25
propo	25
contado	25
consejo	25
acuerdo	25
eres	25
basta	25
enojo	25
darme	25
saco	25
negocio	25
dejaba	24
autor	24
puedes	24
ales	24
sucedido	24
venido	24
nuestras	24
verse	24
obras	24
paciencia	24
ban	24
sacar	24
hechos	24
quisiere	24
ba	24
pusieron	24
armado	24
burla	24
efecto	24
mentira	24
ventana	24
tica	24
llega	24
encima	24
discreta	24
pueblo	24
decirle	24
base	24
conocer	24
quita	24
moza	24
hemos	24
ronle	24
llamar	24
real	24
cama	24
primer	24
dejando	24
discreto	24
caminos	24
jardi	24
sped	23
llamado	23
ensen	23
sobresalto	23
can	23
busca	23
duque	23
llegando	23
ar	23
seguir	23
dejado	23
hiciese	23
quitar	23
presteza	23
grado	23
doce	23
oras	23
falto	23
sosiego	23
hecha	23
presencia	23
cuadrilleros	23
noticia	23
hice	23
letras	23
oyendo	23
acudio	22
crei	22
ante	22
verdaderamente	22
industria	22
sabes	22
emperador	22
donaire	22
villano	22
soldado	22
corte	22
quiera	22
blanco	22
levanto	22
van	22
justo	22
espaldas	22
tiempos	22
media	22
parecie	22
guarda	22
mula	22
alto	22
hidalgo	22
vestidos	22
pedazos	22
forzoso	22
sierra	22
vivo	22
abajo	22
quedara	22
luz	22
deben	22
poni	22
doncellas	22
dejase	22
horas	22
ejercicio	22
licencia	22
rboles	22
doy	22
irse	22
mu	22
quedaba	22
jaula	22
facilidad	21
hallaron	21
entrambos	21
cierta	21
mejores	21
andado	21
obligado	21
conocio	21
gracias	21
corral	21
desengan	21
conozco	21
pu	21
nin	21
locuras	21
fuerzas	21
lera	21
determinacio	21
dare	21
asimismo	21
quisieres	21
li	21
pago	21
cualquiera	21
nsula	21
cortesi	21
verdadero	21
mostraba	21
cre	21
responder	21
segundo	21
servir	21
ve	21
pidio	21
echo	21
mire	21
ruido	21
gaula	20
sali	20
letra	20
calidad	20
hermandad	20
pro	20
instante	20
papeles	20
hambre	20
dinero	20
soli	20
oyeron	20
hiciera	20
ganado	20
opinio	20
damas	20
alzo	20
dientes	20
entiendo	20
quisiese	20
parar	20
llegue	20
celada	20
querido	20
pasos	20
pocos	20
pide	20
cruel	20
barba	20
oficio	20
mora	20
podre	20
coche	20
juan	20
entendio	20
malos	20
acaba	20
llegado	20
ticas	20
vuelta	20
voy	20
cristiana	19
empresa	19
llevado	19
contrario	19
quede	19
determino	19
tome	19
sa	19
creyendo	19
veinte	19
perdo	19
pagar	19
par	19
galeotes	19
diera	19
pude	19
ofreci	19
infanta	19
palos	19
respuesta	19
llevan	19
carne	19
justicia	19
viaje	19
uso	19
escuderos	19
lanzo	19
llorar	19
viniese	19
conde	19
juntos	19
arremetio	19
sobrina	19
ayuda	19
esperando	19
anda	19
merece	19
adas	19
grandeza	19
desventura	19
ero	19
acudir	19
tuviera	19
muchacho	19
pendencia	18
promesas	18
toma	18
cuentan	18
pone	18
iglesia	18
escribir	18
seria	18
vienen	18
imagino	18
mesmos	18
movido	18
molido	18
subio	18
volvi	18
alforjas	18
presente	18
pasa	18
fui	18
lla	18
fecho	18
cualquier	18
descubierto	18
comu	18
pregunta	18
aparte	18
hacerse	18
secreto	18
vive	18
vuestros	18
reve	18
correr	18
hallaba	18
esas	18
suyas	18
verdaderas	18
guardar	18
golpe	18
cuerno	18
leandra	18
artificio	18
contar	18
halla	18
acabado	18
habie	18
adarga	18
subir	18
ndolos	18
duro	18
arriero	18
pasaron	18
tuve	18
ingenio	17
nuevos	17
puerto	17
enemigos	17
ndoles	17
linaje	17
gine	17
historias	17
vimos	17
escuchando	17
desgracias	17
gigantes	17
echar	17
leguas	17
confuso	17
llevaban	17
quieren	17
ada	17
leyes	17
golpes	17
solas	17
arte	17
sepultura	17
ay	17
mambrino	17
ca	17
ase	17
carro	17
mulas	17
asimesmo	17
vaya	17
simple	17
mandado	17
cabreros	17
lsamo	17
andre	17
jaez	17
pedir	17
caminar	17
usar	17
siquiera	17
esperanzas	17
dira	17
rucio	17
andaban	17
traidor	17
dara	17
salido	17
tuvieron	17
turcos	17
semejante	17
puesta	17
siglos	16
pe	16
naturaleza	16
llamo	16
ambrosio	16
dicha	16
cautivos	16
rescate	16
solamente	16
honrada	16
sabia	16
femando	16
ricos	16
soldados	16
jole	16
echa	16
debio	16
dito	16
conveni	16
diez	16
partida	16
satisfecho	16
estuviese	16
hi	16
celos	16
dari	16
puestos	16
trabajos	16
ndonos	16
imposible	16
soneto	16
valientes	16
costumbre	16
ido	16
servicio	16
momento	16
desto	16
micomicona	16
sentido	16
suspiros	16
dejara	16
intento	16
gentil	16
segura	16
marie	16
pregunte	16
decirse	16
conciencia	16
pesar	16
comenzaron	16
lecho	16
penso	16
admiracio	16
respeto	16
ladro	16
entendi	16
veas	16
reyes	16
bajel	16
haberle	16
pasamonte	16
escudos	16
admirado	16
baja	16
belleza	16
rica	16
abrio	15
tomado	15
gracia	15
arriba	15
san	15
pares	15
quise	15
mover	15
nima	15
mirad	15
eros	15
estilo	15
cumplir	15
aviso	15
serlo	15
solos	15
nacido	15
pecado	15
ponerse	15
manda	15
reinos	15
acometer	15
bito	15
ligereza	15
salvo	15
stas	15
comodidad	15
preguntar	15
desventuras	15
comenzado	15
pare	15
cuadrillero	15
galeras	15
yerme	15
fermosa	15
aire	15
espero	15
perdido	15
penitencia	15
pocas	15
cadena	15
entran	15
ofrecimientos	15
pastora	15
verle	15
cueros	15
poeta	15
daga	15
cuello	15
castellano	15
hablando	15
bastante	15
rodillas	15
quitado	15
batallas	15
confusio	15
ofrecio	15
profesio	15
salida	15
vivi	15
extremo	15
llegaba	15
d	15
argel	15
alegre	15
seguro	15
tendido	15
talle	15
stima	15
hallara	15
novela	15
estudiante	14
ah	14
dejaron	14
matar	14
faltaba	14
tampoco	14
esperaba	14
contenta	14
olvido	14
verdades	14
miro	14
creyo	14
sombra	14
acerto	14
brevedad	14
necedades	14
impertinente	14
ame	14
dulce	14
tomando	14
bueyes	14
voto	14
riendas	14
rato	14
pusiese	14
imaginar	14
recato	14
pasados	14
necesario	14
temeroso	14
defensa	14
enza	14
general	14
ponie	14
sintio	14
caballos	14
importancia	14
altas	14
game	14
lugares	14
malas	14
rei	14
ocho	14
largo	14
menesterosos	14
digno	14
mozos	14
leo	14
perjuicio	14
treinta	14
marque	14
pasaban	14
acerca	14
talante	14
furia	14
sujeto	14
aliento	14
haberse	14
gentes	14
eje	14
milagro	14
sufrir	14
menor	14
ala	14
lela	14
punta	14
ponerme	14
sabre	14
viejo	14
pasada	14
herida	14
honrado	14
juntamente	14
yerbas	14
conocimiento	14
honesta	14
famosos	14
tratar	13
suceder	13
ndolo	13
vamos	13
prometio	13
despecho	13
ponga	13
pudieron	13
bajo	13
encantamento	13
mandamiento	13
paci	13
paga	13
repu	13
valle	13
haz	13
valenti	13
cayo	13
escudo	13
venida	13
sitio	13
adio	13
quedan	13
remo	13
aguas	13
volverse	13
trato	13
tendri	13
ferido	13
desenvoltura	13
hacerme	13
costa	13
ejemplo	13
perlas	13
apriesa	13
ndo	13
estuviera	13
prisio	13
ntas	13
parecido	13
cantidad	13
espi	13
podido	13
pensativo	13
roto	13
recibio	13
sevilla	13
supiese	13
trance	13
encantador	13
volviese	13
descuido	13
soledad	13
tuyo	13
hermanos	13
das	13
fri	13
calle	13
vecino	13
cil	13
atado	13
altos	13
pendencias	13
mostro	13
detra	13
casado	13
tenemos	13
determinado	13
cabras	13
temerosa	13
peligros	13
cinco	13
alabanzas	13
pieza	13
ira	13
quedado	13
ru	13
vendra	13
debes	13
legi	13
firme	13
invencio	12
remos	12
negar	12
espanto	12
nombres	12
sospecha	12
ponerle	12
conforme	12
encantados	12
puse	12
servicios	12
vela	12
breves	12
arzobispo	12
estima	12
pido	12
perdio	12
nu	12
encina	12
mero	12
fermosura	12
ansimesmo	12
entrado	12
suspenso	12
agradecio	12
sentimiento	12
continente	12
primeros	12
suplico	12
legua	12
entrambas	12
yerba	12
habre	12
mentiras	12
pecador	12
francia	12
bellaco	12
casarse	12
parecen	12
faltar	12
mago	12
particular	12
probar	12
vivir	12
consuelo	12
esos	12
importa	12
comedia	12
reposo	12
ejecucio	12
suspiro	12
arrojo	12
acertado	12
ausente	12
ves	12
casas	12
corri	12
salud	12
valerosos	12
curiosidad	12
pensado	12
testigo	12
tendra	12
ceme	12
males	12
entera	12
presentes	12
piedras	12
hilo	12
atencio	12
ara	12
puertas	12
mereci	12
dime	12
prueba	12
ruego	12
stos	12
atento	12
fortaleza	12
mesa	12
derecho	12
hechas	12
infierno	12
verde	12
quere	12
agradable	12
quite	12
rigor	12
senti	12
discretos	12
agravios	12
comedias	12
durmiendo	12
goleta	12
desdichada	12
asie	12
reales	12
llena	12
ltimo	12
ingrata	12
adema	12
terrible	12
verla	12
estamos	12
roci	12
fantasmas	11
alcanza	11
vasallos	11
place	11
rminos	11
procura	11
mosle	11
sala	11
piedra	11
joyas	11
persuadir	11
larga	11
ori	11
golo	11
trecho	11
liberalidad	11
ato	11
deshonra	11
mun	11
suen	11
mancebo	11
pagado	11
vere	11
humana	11
breve	11
ley	11
sierras	11
humano	11
monesterio	11
camisa	11
daban	11
mostrar	11
mientras	11
posesio	11
felici	11
sico	11
bosque	11
cuyas	11
labradora	11
muerta	11
sabido	11
echado	11
penas	11
meses	11
segunda	11
favorecer	11
desnudo	11
acordo	11
puestas	11
sentidos	11
saliese	11
envidia	11
llevando	11
sale	11
pri	11
aguardar	11
casos	11
dejare	11
falte	11
vivaldo	11
fatiga	11
confirmo	11
espejo	11
levantar	11
sele	11
sacado	11
pierres	11
vale	11
segui	11
respondiese	11
acomodo	11
iguales	11
mirado	11
limpio	11
simos	11
morir	11
gozar	11
manta	11
teniendo	11
conteni	11
fuente	11
diversas	11
murio	11
estruendo	11
humor	11
qeu	11
piensa	11
entretener	11
dijeron	11
alcanzo	11
parecerle	11
ignorante	11
compasio	11
arroyo	11
tarde	11
cabra	11
blica	11
poetas	11
somos	11
prudencia	11
asio	11
seguridad	11
coces	11
ale	11
camaradas	11
constantinopla	11
tendre	11
serviros	11
joya	11
hierro	11
desdichas	11
maleta	11
desden	11
salieron	11
cara	11
enamorados	11
paredes	11
entraron	11
dalle	11
hallazgo	11
redonda	11
rodela	10
romance	10
verdaderos	10
vengo	10
consintio	10
propuso	10
consejos	10
dellas	10
curioso	10
diri	10
hablaba	10
leal	10
mirase	10
levantado	10
proseguir	10
mes	10
hermoso	10
seco	10
bella	10
den	10
habido	10
desperto	10
nsulas	10
spero	10
canta	10
prometida	10
luna	10
decidme	10
perdicio	10
campos	10
ovejas	10
piernas	10
juramento	10
ancas	10
desear	10
gui	10
buscarle	10
testigos	10
jurar	10
yendo	10
llevase	10
prometo	10
costillas	10
cien	10
miserable	10
maravilla	10
levanta	10
saldra	10
dese	10
rsela	10
riquezas	10
sano	10
vergu	10
inu	10
enemiga	10
beber	10
digna	10
entrada	10
volvie	10
improviso	10
ayer	10
descubrio	10
condado	10
debo	10
cautiva	10
vendri	10
volviendo	10
muelas	10
monos	10
principales	10
quienquiera	10
desmayada	10
oreja	10
desmayo	10
sto	10
faltado	10
hallarse	10
quieras	10
agujero	10
viesen	10
burlas	10
temer	10
sere	10
quedase	10
mandaba	10
poniendo	10
harto	10
prudente	10
instrumento	10
blanca	10
tocaba	10
ordinario	10
escritos	10
desa	10
quejas	10
lienzo	10
paraba	10
accidente	10
hombros	10
prometi	10
hable	10
mostrado	10
gala	10
comisario	10
cuesta	10
diablos	10
nicola	10
imaginaba	10
recibi	10
rselo	10
famosa	10
rolda	10
abrazo	10
trigo	10
redes	10
valer	10
corona	10
diere	10
caminantes	10
atrevimiento	10
pelea	10
cobrar	10
vuelve	10
mostrarse	10
discretas	10
cruz	10
ez	10
alzando	10
naturales	10
lago	10
alegri	10
desesperado	10
supiera	10
desdenes	10
leyendo	10
rogar	10
spedes	10
ventaja	10
noches	10
claras	10
diego	10
responde	10
imagen	10
recebir	9
turco	9
entra	9
grecia	9
cola	9
fuertemente	9
zolo	9
dello	9
descanso	9
andaluci	9
procuraba	9
despojos	9
tene	9
gritos	9
contentos	9
abriendo	9
siete	9
salto	9
solicitud	9
cerrado	9
derecha	9
estimar	9
concertado	9
imitar	9
vine	9
liberal	9
levantarse	9
amante	9
aventurero	9
dijera	9
compadre	9
simas	9
quemar	9
llanto	9
bala	9
hayan	9
cantaba	9
ri	9
guardas	9
diferentes	9
almas	9
escuchaba	9
procurar	9
andas	9
contigo	9
amiga	9
saben	9
ciertos	9
hombro	9
vano	9
cuantas	9
lleve	9
hacie	9
laberinto	9
pasara	9
apea	9
aparto	9
hicie	9
religio	9
cobarde	9
